Date,MMWR_week,Location,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Date,7_Day_Rolling_Average,
3/11/2022,10,AR,4230,4108828,2103,7/27/2021,2339016,
3/11/2022,10,VT,53,1354300,224,7/26/2021,2273975,
3/11/2022,10,GU,22,335832,292,7/25/2021,2284684,
3/11/2022,10,CA,21529,72105754,27646,7/24/2021,2198141,
3/11/2022,10,AS,0,96143,736,7/23/2021,2168359,
3/11/2022,10,IA,16,4947602,935,7/22/2021,2117880,
3/11/2022,10,PW,62,46792,13,7/21/2021,2060207,
3/11/2022,10,MA,77,14354045,3881,7/20/2021,2014141,
3/11/2022,10,MD,5225,11594451,4054,7/19/2021,2013657,
3/11/2022,10,PW,0,46792,11,7/18/2021,1983429,
3/11/2022,10,AK,484,1106583,1196,7/17/2021,2002958,
3/11/2022,10,WA,6626,13935772,6966,7/16/2021,1992936,
3/11/2022,10,KY,6353,6353688,4322,7/15/2021,2016604,
3/11/2022,10,IL,4204,21908184,6667,7/14/2021,2060091,
3/11/2022,10,MS,2016,3780616,1589,7/13/2021,2040600,
3/11/2022,10,OR,21,7486705,1644,7/12/2021,2022251,
3/11/2022,10,FM,0,110131,164,7/11/2021,1970603,
3/11/2022,10,CT,2090,7342903,2649,7/10/2021,1936901,
3/11/2022,10,MA,5956,14348489,6224,7/9/2021,2085154,
3/11/2022,10,VI,69,140852,33,7/8/2021,2091876,
3/11/2022,10,OH,3546,17318408,4439,7/7/2021,2370234,
3/11/2022,10,AR,938,4112376,1056,7/6/2021,2653419,
3/11/2022,10,NJ,2928,16665159,7696,7/5/2021,2813377,
3/11/2022,10,PA,145,22214070,4412,7/4/2021,3055008,
3/11/2022,10,AL,1392,6130617,1586,7/3/2021,3280250,
3/11/2022,10,MT,37,1542353,258,7/2/2021,3252227,
3/11/2022,10,HI,492,2822725,596,7/1/2021,3251982,
3/11/2022,10,NY,16098,38067917,16204,6/30/2021,3045140,
3/11/2022,10,ME,1215,2715458,1031,6/29/2021,2868655,
3/11/2022,10,NE,48,3095113,962,6/28/2021,2879506,
3/11/2022,10,MI,3209,15380224,3754,6/27/2021,2746409,
3/11/2022,10,NM,1394,3795801,1358,6/26/2021,2646632,
3/11/2022,10,UT,141,5080032,1392,6/25/2021,2709567,
3/11/2022,10,CO,4621,10373401,4595,6/24/2021,2914908,
3/11/2022,10,US,144861,556397627,266488,6/23/2021,3322882,
3/11/2022,10,AK,1,1107149,235,6/22/2021,3491716,
3/11/2022,10,KS,1064,4475386,1040,6/21/2021,3722119,
3/11/2022,10,AZ,7026,11624404,6562,6/20/2021,4025572,
3/11/2022,10,MP,0,106791,50,6/19/2021,4161391,
3/11/2022,10,MS,19,3782434,863,6/18/2021,4404490,
3/11/2022,10,VA,6621,15958233,6359,6/17/2021,4420618,
3/11/2022,10,CT,3249,7331717,3525,6/16/2021,4180377,
3/11/2022,10,ND,138,1065474,100,6/15/2021,4185629,
3/11/2022,10,FL,13231,36300747,14825,6/14/2021,4195041,
3/11/2022,10,DC,431,1432816,505,6/13/2021,4246927,
3/11/2022,10,OR,3554,7483133,2906,6/12/2021,4290193,
3/11/2022,10,ND,30,1065681,77,6/11/2021,4210733,
3/11/2022,10,WV,26,2647544,429,6/10/2021,4423311,
3/11/2022,10,US,117353,556968093,158362,6/9/2021,4408573,
3/11/2022,10,GU,57,337594,65,6/8/2021,4303546,
3/11/2022,10,NH,341,2540616,488,6/7/2021,4170442,
3/11/2022,10,OH,7120,17304361,6375,6/6/2021,3814470,
3/11/2022,10,NY,12899,38094032,11594,6/5/2021,3773609,
3/11/2022,10,FL,3886,36326088,8867,6/4/2021,3817385,
3/11/2022,10,WA,59,13942764,3730,6/3/2021,3789631,
3/11/2022,10,KS,1913,4472153,2689,6/2/2021,4019086,
3/11/2022,10,PA,8817,22201225,5925,6/1/2021,4369063,
3/11/2022,10,AL,2700,6126993,2165,5/31/2021,4526485,
3/11/2022,10,MO,34,8703014,1797,5/30/2021,4902026,
3/11/2022,10,WY,486,733950,228,5/29/2021,5136629,
3/11/2022,10,NH,-91294,2466574,-7775,5/28/2021,5541171,
3/11/2022,10,NV,787,4760150,1505,5/27/2021,5982429,
3/11/2022,10,MH,0,57853,277,5/26/2021,6341591,
3/11/2022,10,WY,41,734281,141,5/25/2021,6622416,
3/11/2022,10,SC,1687,7335846,1840,5/24/2021,6868850,
3/11/2022,10,MP,0,106791,31,5/23/2021,7103132,
3/11/2022,10,TX,16992,44772414,14778,5/22/2021,7271447,
3/11/2022,10,GA,98,14462065,2952,5/21/2021,7398859,
3/11/2022,10,IN,2829,9258127,2941,5/20/2021,7409936,
3/11/2022,10,NJ,6516,16680800,5585,5/19/2021,7434586,
3/11/2022,10,OK,406,5746246,2224,5/18/2021,7355462,
3/10/2022,10,OK,5375,5745840,2592,5/17/2021,7464828,
3/10/2022,10,NJ,5173,16674284,6121,5/16/2021,7515109,
3/10/2022,10,IN,3513,9255298,3229,5/15/2021,7503234,
3/10/2022,10,GA,69,14461967,4075,5/14/2021,7463827,
3/10/2022,10,TX,14394,44755422,15684,5/13/2021,7753611,
3/10/2022,10,AK,721,1106099,1322,5/12/2021,7958487,
3/10/2022,10,PW,58,46792,11,5/11/2021,8180914,
3/10/2022,10,MD,4134,11589226,4293,5/10/2021,8153369,
3/10/2022,10,DE,887,1742565,1016,5/9/2021,8057107,
3/10/2022,10,IN,4835,9243373,4001,5/8/2021,8062935,
3/10/2022,10,DC,1434,1429546,958,5/7/2021,8362806,
3/10/2022,10,SD,418,1363287,438,5/6/2021,8474884,
3/10/2022,10,CA,48424,71979632,44072,5/5/2021,8714371,
3/10/2022,10,ID,846,2379956,795,5/4/2021,8992039,
3/10/2022,10,AZ,4340,11636028,4359,5/3/2021,9289298,
3/10/2022,10,KY,2353,6358296,2035,5/2/2021,9673062,
3/10/2022,10,WV,1115,2645509,908,5/1/2021,9960643,
3/10/2022,10,NV,12763,4745377,3679,4/30/2021,10066756,
3/10/2022,10,WI,4441,9909880,4158,4/29/2021,10341173,
3/10/2022,10,WI,3513,9924654,3179,4/28/2021,10547881,
3/10/2022,10,LA,11207,6089784,3659,4/27/2021,10752182,
3/10/2022,10,RI,684,2143877,721,4/26/2021,10896280,
3/10/2022,10,PR,5,6994077,7165,4/25/2021,10970483,
3/10/2022,10,NM,2245,3789313,2076,4/24/2021,11157801,
3/10/2022,10,MO,3837,8695633,4535,4/23/2021,11279530,
3/10/2022,10,CO,2806,10376290,3098,4/22/2021,11537471,
3/10/2022,10,MN,3369,9959462,3204,4/21/2021,11760461,
3/10/2022,10,SD,646,1361824,621,4/20/2021,11808600,
3/10/2022,10,OK,2163,5752212,1943,4/19/2021,12104093,
3/10/2022,10,MT,618,1541224,564,4/18/2021,12363766,
3/10/2022,10,DE,328,1744130,574,4/17/2021,12451789,
3/10/2022,10,TN,1637,9653539,2590,4/16/2021,12899496,
3/10/2022,10,MA,3197,14353968,5068,4/15/2021,13101792,
3/10/2022,10,TN,5465,9644453,4462,4/14/2021,13283136,
3/10/2022,10,ID,1669,2377374,1065,4/13/2021,13580603,
3/10/2022,10,NC,10627,16201828,7948,4/12/2021,13385058,
3/10/2022,10,UT,17,5080079,19,4/11/2021,13264360,
3/10/2022,10,PR,83,7012593,1298,4/10/2021,13022940,
3/10/2022,10,MN,4526,9949570,4148,4/9/2021,12699964,
3/10/2022,10,RI,1151,2141380,1009,4/8/2021,12516799,
3/10/2022,10,VI,39,140729,69,4/7/2021,12520129,
3/10/2022,10,MH,0,57853,58,4/6/2021,12406889,
3/10/2022,10,IL,16784,21906684,11082,4/5/2021,12407338,
3/10/2022,10,VA,4654,15968883,4753,4/4/2021,12393873,
3/10/2022,10,GA,12104,14441599,9105,4/3/2021,12497827,
3/10/2022,10,LA,2467,6103242,2093,4/2/2021,12379928,
3/10/2022,10,MI,5670,15363600,14122,4/1/2021,12258505,
3/10/2022,10,PW,0,46730,18,3/31/2021,11903739,
3/10/2022,10,VT,664,1352416,651,3/30/2021,11610639,
3/10/2022,10,FM,390,109822,426,3/29/2021,11437759,
3/10/2022,10,AS,1626,93864,714,3/28/2021,11210484,
3/10/2022,10,HI,927,2819420,1369,3/27/2021,11086730,
3/10/2022,10,NC,4896,16224162,5080,3/26/2021,10890645,
3/10/2022,10,NE,33,3095172,555,3/25/2021,10524326,
3/10/2022,10,IA,1635,4944249,1676,3/24/2021,10360577,
3/10/2022,10,MD,6143,11579870,5647,3/23/2021,10261712,
3/10/2022,10,TX,32173,44693438,27537,3/22/2021,10195426,
3/10/2022,10,ME,599,2716559,785,3/21/2021,10167668,
3/10/2022,10,SC,16271,7328492,5814,3/20/2021,10061496,
3/10/2022,10,IA,843,4947586,1288,3/19/2021,10102390,
3/10/2022,10,AS,1107,96143,759,3/18/2021,10226069,
